gameId,Date,Home_Team,Home_Runs,Home_Hits,Home_Errors,Away_Team,Away_Runs,Away_Hits,Away_Errors
b9eafcfa-3647-480b-aace-d82cedaba572,2016-04-06 19:40:00 UTC,Diamondbacks,3,8,0,Rockies,4,8,1
e5882197-dd21-401f-9e2b-13df088c24dd,2016-04-06 20:55:00 UTC,Marlins,3,10,1,Tigers,7,13,0
ab3fc6f0-33c8-4895-9cb1-4c4e50d96ead,2016-04-06 22:10:00 UTC,Indians,7,9,0,Red Sox,6,10,1
e43eaa9a-7e0f-4d17-92f8-5e3a1ccdc64c,2016-04-06 23:05:00 UTC,Yankees,16,17,0,Astros,6,12,1
bf96bd28-e1e3-4ff0-b772-6820be18c814,2016-04-06 23:05:00 UTC,Orioles,4,9,0,Twins,2,5,0
91c8b86d-46dc-49bc-8fbf-51e32c16d65e,2016-04-06 23:05:00 UTC,Pirates,5,9,0,Cardinals,1,4,3
669132a0-d343-42a5-a6f4-91d71eb023b1,2016-04-06 23:10:00 UTC,Reds,3,8,0,Phillies,2,5,0
a56fa9f4-e86f-41cb-b57c-26145f9d1e42,2016-04-06 23:10:00 UTC,Braves,1,8,1,Nationals,3,8,0
c864566b-2367-48d7-8d51-d35e0f1d74e0,2016-04-07 01:10:00 UTC,Padres,0,5,0,Dodgers,7,11,1
b9dc07b5-ef5e-4fff-8f4e-c9cf4979800e,2016-04-07 02:05:00 UTC,Athletics,2,7,0,White Sox,1,6,0
3f9103f5-66e3-4752-b547-ad2d9e50bbb2,2016-04-07 16:35:00 UTC,Reds,10,12,1,Phillies,6,9,1
b2de5db7-b60f-4080-aee7-7247c61b7051,2016-04-07 19:35:00 UTC,Athletics,1,4,2,White Sox,6,10,1
0d5c5bbf-df4d-49e4-a22b-1c11515840fe,2016-04-07 20:05:00 UTC,Yankees,8,12,0,Astros,5,9,1
9212a771-ed88-4b6a-8bb5-a123e4c578f6,2016-04-07 20:05:00 UTC,Nationals,4,6,1,Marlins,6,13,1
4bb5dc08-56cd-4c61-ac50-f8134b715233,2016-04-07 20:35:00 UTC,Giants,12,17,0,Dodgers,6,13,1
99aa1d66-c2d4-45f9-890f-f8cc5a841355,2016-04-07 23:05:00 UTC,Orioles,4,8,1,Twins,2,9,0
74172bf1-d2a2-4de0-b0de-21ee698940fa,2016-04-08 01:40:00 UTC,Diamondbacks,6,8,2,Cubs,14,14,0
64f1f7d9-8eef-4403-8f41-2db9dd7206a9,2016-04-08 02:05:00 UTC,Angels,4,11,1,Rangers,3,4,0
cf866b08-cf94-4b51-bc18-312052300fed,2016-04-08 17:08:00 UTC,Tigers,4,13,0,Yankees,0,3,0
e42c8f03-3748-473f-8258-85244088ae50,2016-04-08 17:10:00 UTC,Mets,7,9,1,Phillies,2,8,1
b7f9f9c6-8319-48aa-8a1e-161e13ef81b7,2016-04-08 20:10:00 UTC,White Sox,1,3,1,Indians,7,9,0
a323877d-2afd-4d45-a4f2-7ce82acc0126,2016-04-08 20:10:00 UTC,Rockies,6,9,0,Padres,13,18,0
f57e1271-d217-400a-aea6-2e2d7d6a59a0,2016-04-08 23:05:00 UTC,Orioles,6,10,0,Rays,1,5,0
51aae19a-930f-4590-a17e-61930d1e5a42,2016-04-08 23:07:00 UTC,Blue Jays,7,9,1,Red Sox,8,11,0
e5817370-387c-46c0-910a-57f277127212,2016-04-08 23:10:00 UTC,Reds,5,6,3,Pirates,6,8,3
b9965f9a-5fd2-4c5c-9f03-3643d3be20c3,2016-04-08 23:35:00 UTC,Braves,4,5,0,Cardinals,7,11,2
2ac69b65-026c-4848-b817-a40b545c9533,2016-04-09 00:10:00 UTC,Brewers,6,7,0,Astros,4,9,0
bd93646f-e5d3-4280-baaa-9d4e36af3e5b,2016-04-09 00:15:00 UTC,Royals,4,9,0,Twins,3,6,1
c32d0ef1-d3ec-4c98-8398-0152c2cb286e,2016-04-09 01:40:00 UTC,Diamondbacks,3,8,0,Cubs,2,5,1
aa71c8fb-4a88-48ab-bf7e-51ac8d721a1d,2016-04-09 02:05:00 UTC,Angels,3,7,1,Rangers,7,10,0
c63d2929-b532-4a3d-baa8-4fbd8204aaba,2016-04-09 02:10:00 UTC,Mariners,2,4,2,Athletics,3,9,2
